3333 10000
1 1 1
2 4 5
192 123 231
79291189 485565134 109721901
527304375 357277186 376809040
789444507 513213244 17008147
898823176 186944082 279092188
799830865 739477484 624847973
399952888 363410947 922804545
564820038 73596069 204282689
344836301 205106387 870914245
381006921 205841831 866934659
739994258 897315903 351932842
988660682 365026854 974934187
824944967 479054307 279152075
788284784 142437865 112103344
812609710 95729868 553351339
720378594 935424250 757520542
241349581 513710901 404333771
862715173 614208479 362359981
131303511 634689715 677607215
192409012 397697965 103475764
875291189 238816130 477538371
379452065 976253185 333650656
975782576 273798018 776315410
168341198 456921460 225110779
769430987 197727222 954931659
346753741 339850617 442806054
802244005 264349112 465902867
721175726 780826547 853047969
500455120 932901017 284833542
520489594 687425865 802720834
871222619 236943217 821103258
678114135 844157312 357761836
204696461 791872542 64569386
369112347 592100787 29943995
551178052 165407320 50705789
61703950 619097458 858242914
886558848 495681367 899957179
842702074 202716495 29036170
1503364 686140152 446140124
601117189 939948430 984381837
454519623 427459712 568867392
74436166 818195533 231541720
419747460 829826768 401520583
794640238 421909500 635253622
900294 141790487 164463735
318562558 649852167 809077624
134934988 896199765 985180722
298777783 160282188 885473460
273474844 373634392 414261548
767934740 598110771 755223145
779000544 907836050 324563430
896795591 400000984 20876257
872421011 510946553 606743549
114913493 285265090 429795866
436547814 755372074 695624094
423418223 937457087 995005882
952960528 554868207 82865256
465150337 113700417 200227142
77500027 150846949 11501695
488339523 555350358 393391609
437167553 580517836 620447597
545046581 994650857 231071623
9934484 544148852 893045582
465610044 136168295 196873240
948267437 501985233 997830744
13635120 911087292 807119067
664735440 426217621 756641385
387304970 344270867 193910184
623101285 488573569 514305569
324505179 701409205 544566374
648748692 12080033 647610948
990152742 36342432 387363412
219004137 992644374 805562859
182131327 503423362 591119598
465094523 930374194 654211786
901461107 458807939 31574005
613330348 915973785 552746536
812066383 910660037 620421716
226874107 522734547 372933523
286646234 738524836 402637376
136089397 143503166 42056073
600798611 960799640 263131211
96813849 619821492 773393420
707516465 893726868 895773171
736829062 743167213 465803032
240631351 904752006 161992195
973463099 148329038 888116758
820012295 765151404 302592523
737752862 155272198 291622855
299526094 376341015 312739547
557295417 545950647 646370499
158272097 123675687 826972085
594399972 687909496 93831577
568038756 608300811 629377300
404424818 947905262 459658940
44691038 822857839 739824994
82369165 242379985 579516964
130892349 643535499 478686137
88976357 470641957 335285195
28984341 267374663 439406460
730205688 979556000 716823098
350284969 700887587 620835143
259794197 741427021 212031309
534994016 349941219 684910050
884855037 35910614 26705242
189665693 30246030 697101803
870050479 780543394 737355992
383179671 582435366 148012667
45805537 299742559 605961320
20370662 257467474 363956819
776275113 632030726 56521064
680592227 319616047 200407513
559274229 71168843 947258967
856398829 99371464 93119853
368554404 647833636 137033309
470377104 502031157 257915002
12279565 386950346 12871418
431684723 436924717 667222620
366577162 870394366 85462710
338655928 853486748 852289342
946000953 231830846 732148849
270553634 140285960 692936687
726403440 528462217 344506776
906081278 939279649 962050098
740694228 112627435 879915095
204773067 128537586 1634617
209266785 380899323 946055201
276429681 856137006 345776778
10188029 563900354 594742066
263163721 816357828 972874710
709351781 202598591 110991678
258151156 183522696 184422337
216399357 706979917 808124116
405919912 279159875 403705524
288991780 471885808 434072052
739582634 257805601 334628870
476794846 287414657 301002564
282006721 802802826 309053812
926343344 191971113 227117682
242538115 934678813 908142177
356070774 10138591 801781004
903598462 397668129 759200120
817540638 419666560 403035511
293493250 905627443 634716230
630030075 631911617 598399810
770209464 575228922 162628910
868169044 241113201 192058998
99162994 188773782 890211155
608359194 215727209 279151862
307970054 169487840 128886714
901570345 428972958 286762186
717323193 174827849 175879380
343182874 620265319 432377516
216856918 154922174 933141917
813056650 79435464 955884332
941864694 837068698 721350620
537573139 937346712 348924820
211807705 453201916 369823674
925170187 844149230 182320772
740536836 594122978 331045393
24954673 129617077 925670155
83535440 26499788 719822237
588603910 921816750 433019384
866809649 666039393 784980938
570320448 986436785 976689592
196387891 849505958 639194063
967669628 910810785 377250507
841659638 232026361 63267744
106813559 950002200 99363043
579718867 552493980 464099292
592318856 858697290 289677434
851035493 460982548 399850286
167940667 53440429 995442640
731176105 939581979 556581143
477775729 64435544 261741709
871830004 746173610 219690364
72839192 353272554 925360645
624159388 24454026 648429813
468942503 670679770 878675580
325836735 287085592 151752465
63871580 146754898 270888972
701278245 391225474 225657458
818027451 641775425 303196913
981252491 943761851 555445802
761273588 99545485 667627940
586843156 107611437 995089381
18278322 937601480 588258713
466383380 838860845 49207100
675793583 890903976 892677476
506032993 165604832 455582380
258699260 456483467 802861616
22479173 974167198 123991945
164282661 343946067 181745213
686342966 180355359 575749704
129998801 813137782 110694622
843308732 846416431 70415760
777473873 886033028 128330868
506450192 977839577 551265385
680785235 385763747 269380115
512885730 635364612 697122205
724837763 840895372 453026137
592064490 346685378 458561075
139324807 476176772 637164155
960440278 329256654 749189917
896467624 952745542 297520866
379679695 820912160 866350676
194760241 399890983 132595943
327435840 479619871 752105836
338245741 7986198 728875898
743521724 170151648 431207174
103946801 164129781 847729995
281857975 190534474 421512715
348197904 801225690 752667294
873007582 778897823 167364771
128056533 317358531 667612569
943921019 799758613 731366008
479096436 519890871 238378647
931937558 991814373 438653328
785846977 243350614 4798554
560627163 672493182 125925928
530078092 305512865 952094965
761621608 233905827 438683601
167566934 336438664 426404606
2234444 313301539 135472439
455241926 325107703 906249920
