99997 99983
1 1 1
9 9 9
0 0 0
0 1 2
512590595 -868449916 -248787160
-137281785 -724586249 -359035561
759402089 -720641741 405176102
-1041147115 -854630131 -46994713
932155794 -136343455 -346794751
655246608 -360954289 374419494
836363426 990409986 -974079012
98945442 281079211 969734576
-861096467 -92261360 -1039436557
227891698 -633585592 -110721765
-484946319 -952731788 -8661551
-530100683 -395761585 916738124
-333875324 -344416030 -995604704
427445863 -671661021 476419202
818443741 -211719957 -294779729
-421881608 -484032106 -1072455787
580066920 -406461346 419590199
585650039 897731405 299129827
277403403 -898188193 811193360
1018392314 -821164598 345947200
-1037422392 748565232 999367477
131347579 450049928 293098017
-640944551 928616802 -902635280
-217542904 -418566255 254344781
-1048199543 -888786926 924434474
904582003 -596279687 947723716
-20835027 494822093 -478748153
1026782719 -1046750388 320718637
1037248897 -733497252 -978681487
-354750873 -884838940 6922293
-117910796 343437548 701285273
383457003 -254675302 663236527
-655831398 -99439668 -669587281
351937588 12571547 -42103151
797981741 1005350645 496460620
-517319910 -664900465 1071424299
-500654602 477277707 -399707217
1043314097 -1040267450 -650597878
-674970801 -861163033 -870250906
-744347679 10655054 361485839
-597332367 -749672279 -452027177
-189686510 -721745076 -815563532
381372983 -55727520 -552276512
58978493 -1005692231 338840762
110795511 586427835 -984381235
699450583 159115443 -990299425
-370956618 631341876 -315756211
-626177557 -144085756 980231820
-60318468 8590912 247711430
-624491062 444566126 -378526858
-669835360 -229205884 -571331521
663670810 -963325989 827105597
-618294881 254695309 -590634946
-547251653 -99371023 -449324149
-864627746 867005163 993598970
-102364948 130257048 1013057644
138677509 -882407001 138760013
-476353671 920137050 -493410331
-226722540 77784793 736724270
-1072911764 473507212 -74843514
-378756822 387655711 112179421
-778666071 -389172746 -555026997
556891030 -949968593 -480800888
836499621 -395630622 517473175
364197259 642134035 -300677241
739779264 -880294269 767435443
-911289204 -837592620 -571211674
-9888325 903350035 324148251
541398998 956349011 -848753722
691801102 -932314002 614626985
-752357274 649678301 -787754410
80450069 -90672094 -45661977
740583873 323897696 -50331926
-225637028 -969633488 -32624268
685331811 929838733 -300101868
176789582 -206940900 807275568
-707984983 -95259086 936541919
574353038 552559562 -504229533
-143746611 -865469161 125164545
-375850742 -365630205 -245731235
690755206 941432889 249302921
464377176 209707457 -544077220
512776826 -797091385 -201294912
-38163795 26398781 -368203691
-94343491 -314262906 -503123370
-1036413472 -1041302666 907978208
167983099 745276212 910537058
599034270 -264361458 -1060869643
285855981 -369706265 472688198
542954985 -113556401 -1038609469
656285517 894095122 89463395
233848059 -42042351 754926051
-974166517 348959236 -514177482
-867441713 -601943773 -1007204806
832982177 -843721953 729854887
-562417063 -268258058 -525462983
-534539965 -563209600 607119447
-128810948 -344771444 -127828828
328961988 -349746458 -7885402
999641969 -1046926562 -919684626
445590719 567155806 680160579
932711376 313048961 61242279
-973381478 -509271413 -612641052
-917809773 606327525 674786166
-585363185 -413255281 -435531228
1017558331 952853973 -362535755
701819803 595293435 1054810588
258910182 639096976 579706327
585365862 456645694 -719101806
150915124 1062627179 -733891421
-788190113 236988508 556816643
510086547 -772564214 -167340888
-432222776 13389556 -429975686
-761992711 -448108047 82953751
-528933603 -1073398402 975420883
-974982924 -859668357 154392500
484076452 -4875934 -679502198
732862260 -615990336 205554122
217512252 398007653 556145680
-843873662 -251694087 -463056848
532644726 227517077 -530896923
-930510273 -453287508 972962323
-497025662 -987395871 624923360
921562524 -932297189 299728272
226565030 676360250 323631836
132690893 -482150621 -210234192
674832693 -639409986 -688569582
484240344 -452702898 861425641
486535233 781503460 -134811381
-1004331623 825313354 -178771027
193163431 -647311463 -902860244
-303436498 -874638310 1040042806
711429772 618602517 792843764
849779872 29029840 -563565142
-471089693 -1029491209 264415416
-865835022 334151657 653080014
1070395749 -99415795 363185795
462338781 -280495497 278883121
-574814567 -266600083 894743607
-385229548 948613714 497251541
-383796972 -202789364 -1038154854
501117553 -396681692 -878483914
-36498588 -652503478 330723201
961987027 753730415 868986193
1037099873 106150875 -23331782
-462804329 374759455 -597733580
-132377377 502604542 443354308
643305902 -171865863 -733281662
691938638 719218914 827417518
817686185 -1028788858 804382618
-834129899 -96010406 940512461
140798875 -362082909 -257917541
-492359400 963705142 293702613
827668022 1028373260 -1001416068
-849265415 -448028330 -706533355
883993825 -331175286 -305372585
941070513 -522858922 -665995676
-132889044 -633070674 936828730
-113151577 314269213 -704229397
619015457 220476318 -525316004
-110362977 -772947622 -952903769
-919262675 479879878 995957375
337357219 -587616444 554178638
811382479 -467488551 377239985
-797187845 -439866720 777117909
-499960356 423347142 104393761
828105159 14894273 -769875271
923080161 1037106291 -431791305
483620199 -242468685 1038367762
-114194353 742813110 570459175
213270351 1057547515 -615967557
266637512 84135987 -763619411
777885103 181230552 217124176
-448639469 1053816168 841849931
217780268 159752477 347864388
758734751 -537017584 226585911
-533269322 -511214675 -712746832
22057128 -311749817 -637394090
649869501 576016981 -1020309851
138114465 -342426569 -941164851
729799177 -796638765 419754202
223606311 760589950 -502598329
1067102226 -546295839 -959759968
109064414 -630299773 -309452401
-348787084 -569325412 43482235
-933084530 961440672 -922834553
430754672 339585370 -341870286
721175599 22608042 -656894807
-587774431 283019579 284215186
-178308335 -80706949 221895148
554384662 -281638298 84026597
-77803369 755680854 563918495
940383588 -718216495 63734924
10209583 -721142193 675454665
-360278593 -979647 51645458
-749558224 -208475565 -133170090
194491379 -601559078 -1062016109
-913196038 -262079147 592395886
707722348 1237701 1041918865
-108339918 -1021937163 -361415440
-904639294 -259696616 746918802
889799647 -942256676 -46329877
365187547 -760176092 -511311439
-318700771 517365307 944943994
-328140921 -333459153 -639835572
864120656 -734656596 -158570825
-741978457 464063674 -468997139
169076446 115291136 -310273714
740310841 150882758 -188362030
331360491 614849702 1066218650
-1025762623 -536870703 -323067870
-185227084 831719124 50700026
642914716 -891722856 841857409
-1004013398 1010174870 -1024434830
267559351 744559352 617238418
-388329006 -856420846 -380909723
-856120744 961499014 364443927
-234100124 -482344409 704002265
-945773120 551165655 -109048016
664043761 -1018648969 -601527232
965188599 -519163350 -907733574
-552308677 569181373 -99918799
485616244 -317380066 316122918
-286971033 860043105 849523332
-786396051 -428788454 140412822
-997363618 -847871954 702344729
-699348488 764679961 -1055373160
-122395199 782658175 -872283976
-576067357 -768534607 768133958
-871259628 -1029291976 345948837
148972563 739155261 26963036
-829391292 -508177976 691728201
688527155 -272993579 224192011
920902543 588700313 904576226
469768594 286999263 -370235548
-587691685 727063666 -1043625328
-849917458 768852936 -160025881
369932098 931689706 141843244
-247322410 485609142 588528054
-703159161 -320364329 -942045546
-826951801 -799584668 737444710
570975066 -599606445 768796547
-1043226158 601390132 833912983
-67720983 -328201520 991807226
-510289871 753106298 23118381
-816676830 -325538058 503671426
-236241123 -122729561 -1023689513
785778804 -605498938 134916493
-117700999 466991109 -1069245615
-301739229 -928297854 -479362189
-642351617 -871246537 -82647866
-574502029 338510362 -896739342
-684249026 887560803 -809712447
363919613 118021699 -88803659
843540347 -633590555 -774813342
-693093017 -174171976 -80057594
176056116 420785972 936814975
594894934 192359409 -581917014
-483583106 360276595 427236502
-712743554 -1029377191 -373909173
-427034187 773142980 928560102
-129077120 484359268 535524912
566722246 268161362 -1000008818
-293124500 -553982596 -498109469
-908214669 35155839 -507437189
922902249 -499180255 -142359671
-805196541 449810858 -552704372
-750915957 -567795424 424456543
-970893632 -690739108 -691638025
-709147243 486386033 -661827675
-895065256 -654601527 -634349558
817759575 -675350769 -769501448
-532325455 -641459516 -654224386
357394717 688827798 944990286
-250602772 -885211148 236793806
-846961003 -1043519461 688221533
-444284010 -297049932 -1026712420
439904615 -1046305312 999891452
-928234909 696484715 102115311
202877080 -281501927 207187438
-28598126 -264629064 124925516
-995775835 448840279 -551146877
-754952505 987585752 -907886419
1018967147 672075878 -588553575
-536926726 138595785 -176101383
-768869185 538321501 411196103
719264051 -804824431 -867911447
910533456 251267731 -74085289
-207458193 841364865 361231951
-247846514 268028118 1061057896
-754426165 -463609203 968258022
-713130241 -90230571 -74864664
413512517 615720045 194007254
-488404073 -178417095 888724084
-456443531 -285032490 -827092122
-169055549 909067381 -902866997
1059587732 -3623756 788513799
973623830 450640574 293242043
-340889252 886172647 -915313695
-116712636 195988877 -1035980397
-426041549 543976270 692497162
-302828915 -958367793 -145943358
853684443 763679335 567905434
-211218529 468602849 487038258
166069253 -712774159 682376456
-817022812 265163818 -814869986
108793719 329508191 7323081
1067894448 -122702842 794845770
-590971702 -681575365 -238373295
551285146 713831970 -982551653
-453303279 622637908 -104102060
-929938305 53505406 58975846
-906804647 90466232 -95549686
-464602431 448287788 315636624
135662193 487286956 -579095139
-47438324 -716191349 232934645
-274871181 411634417 -31601188
-674911544 -990453077 920448172
-579696803 -841836804 36749400
-721511591 262187466 401803321
-401750002 -394677556 -918949389
-763982110 -474205514 906861369
-171010986 -502510787 -681124255
94533669 -629872916 -774428057
161366996 464260145 -201619614
429018191 -85556538 -764081371
763251051 -775360238 702833053
-147137440 -14481812 780105271
-135261840 266707193 561178011
513416508 -253543932 -837480343
-1032827151 59053885 -811388902
-845253601 -70198400 -967907268
57659264 941179822 -532987045
-692644099 182531955 -947446334
-741037771 1041648748 -384256362
-896986238 -900966017 688464274
-608193762 -606955901 793829505
-291335999 892397872 840102696
770197216 996092629 -44068562
-1053625165 -381420152 -181623273
-56204282 11071694 -251590037
654109213 -661104727 -699330853
-444298207 -641784637 93529126
56357399 929467271 124688285
-419493497 385101756 -625822645
-514201265 216991430 -410708654
-622900272 -1004283373 -882269618
-709329552 -543504975 822146015
-757254431 -792574146 92278559
1036368266 -131452787 27203426
119935700 -117775876 977534506
75905157 216605045 -533082194
850354077 -637135286 48669890
-165876610 243966996 -128051118
378771305 -877771018 286509578
-606088789 246310249 486851936
-403853760 -654645497 -206034374
477592281 750176260 224775885
586606957 13485767 781628481
-85014436 -371252073 1050660045
919418314 543716590 694955591
-492506244 -825678947 -349182706
-306967238 625835347 -164562960
432907853 950875074 -893762699
741497890 515303851 -348599138
98380225 859181438 -755560387
403236224 6131056 111948847
761367959 -790942552 -793126350
-87889966 -622043373 -188830836
779105774 946377072 -576337672
4638935 -551056150 -815938352
758355883 642433127 -302115938
-126802558 -852684879 203570080
150915225 644098056 -28810147
688615798 -856913487 -241569063
208060740 461227658 738044475
25436204 146426301 -588898705
165496794 152660972 568124097
-598935808 -850694212 -952553097
-316444582 -528594427 -563327821
-729119618 -535069221 913115264
559652575 410053885 -68007760
410880206 589605014 -1051185235
-165188819 -963142171 -910552476
67713500 608404078 859570807
133694662 -117550076 -1048427442
-640895994 815750896 -1719662
406836730 -60638004 883880341
-833972943 -616642221 -300934869
-1060046769 -65986413 38663602
401775771 -1004885211 177684816
-8120370 -1024483196 -387327645
324324489 184700820 213949204
-149966871 970836410 -791636150
723116112 -848210899 -542813158
-301782888 679272283 849367017
-165765497 -214444589 -40063689
-934137943 890447002 111604276
1062160385 -905882522 886888112
-6040468 -869658864 -119651728
626078514 687010247 517040875
-420467857 -984343986 -820788329
715925219 854836427 -141184812
-840802353 30400207 898635229
-1049429643 -572674095 70468694
491103927 989159548 628087623
-201905340 -733504432 752945782
-957473261 260734479 -1058368232
680264969 150585378 233472401
-1022999264 -686459238 -687466414
-358727527 -385369943 -495593007
-106358431 274290563 247435366
-42835840 -134338049 -666717134
1071618015 550329917 862727390
677875609 -355487969 -873560733
201110392 -967880774 802612671
-359902711 52990661 320570161
636186643 668809163 -791034923
-1059292388 515997468 614466067
507880828 -422401403 -852101216
104566987 -1021613364 344981076
354328190 792037566 -604437233
986115323 748751443 186276242
-109613106 784256852 583475793
-127522582 318291283 -591609098
234716187 600198602 786120
311286326 -1034769508 863198895
-431146649 -619831123 -233195784
-347123280 -80877085 -346829409
144589163 -896283408 -261508090
1020394840 983408913 -657206965
-74080860 559640015 -33595519
519020341 -361634164 -508889580
1012918352 -523023039 -390908468
-204261006 -445991578 -703302413
-516971848 -119524024 -2242178
-956881896 999989847 667323456
-875971101 -445591803 -563774330
-449262009 -173303434 792258268
971067645 631235997 -144198220
688595799 804757844 -110397118
832550380 135747837 836108640
1036018158 -940216015 -861151725
-947515618 759226605 -27817044
-731971041 -253355839 511990419
3562290 -920600443 -788421749
448294973 97239823 -20165840
-636883549 -609723516 450683491
-308500276 -493623842 1071126267
-1004627087 -357600840 941576705
-427397553 -77272632 -261771842
477484866 -909235015 788241385
123320699 561227894 -1035715275
732466920 -889175357 -877982706
-197523606 -975543384 -1062420942
-750505611 373278843 -110461584
529542583 -630115986 -382253360
-858065082 -732175450 275334930
-87790848 319638702 613185459
431202120 291569586 -1027212047
-114591084 324567651 699809203
-1016268199 -993309479 -1008493437
-1030002827 -64900095 625913351
428839384 -122162302 726051394
-780996991 -984308060 -270543744
-495252051 186628446 -419392336
-903668062 983618348 -387646235
-781060952 638420266 375100025
162859613 -910212270 426796006
406060149 480619726 754772900
-1050390644 587900419 -631267616
156847962 -567411901 174873872
-1073130847 -1073184699 -1072357408
-997417767 72566904 175537085
308498205 -525389397 748237577
118037464 -42707010 -493956158
568480619 -649047238 299240021
54707072 312172797 -536189
-625149890 -932843335 -247704242
1019802474 32516934 -1069273393
-139166941 -936582126 -684114396
-1006523747 898656827 32287261
-524817895 -571589867 872160321
588458421 -327059360 -451322456
-683855527 242362460 -688336578
171101336 1036003893 519797278
491057524 630662161 947303116
-312051238 279460983 560410113
153935030 436803514 589613200
-420303386 -271277362 -860680060
-834148662 957484633 924451386
616763614 589078655 -281099558
-478190999 -249530342 295023687
292571569 -794906407 712745763
1071431843 560230027 -955857516
-701554159 -657580933 -140008067
-849179481 -302839526 -210165167
-463624131 632893016 59272870
-718210268 804966698 -871137182
-110914248 544088876 -920703467
-88585651 -320387357 -767815632
-228744038 -984423227 -676949805
853118199 603958597 -575450122
-738058732 976566007 -7592922
